County,State,Education.Bachelor's Degree or Higher,Population.2020 Population
Camas County,ID,16.3,1077
Cambria County,PA,21.1,133472
Camden County,GA,23.9,54768
Camden County,MO,21.1,42745
Camden County,NC,17.1,10355
Camden County,NJ,32.5,523485
Cameron County,PA,13.7,4547
Cameron County,TX,17.3,421017
Cameron Parish,LA,12.7,5617
Camp County,TX,19.4,12464
Campbell County,KY,36.3,93076
Campbell County,SD,28,1377
Campbell County,TN,12.4,39272
Campbell County,VA,22.5,55696
Campbell County,WY,18.9,47026
Canadian County,OK,27.4,154405
Candler County,GA,13,10981
Cannon County,TN,15.8,14506
Canyon County,ID,18.7,231105
Cape Girardeau County,MO,31.5,81710
Cape May County,NJ,32.8,95263
Carbon County,MT,30.4,10473
Carbon County,PA,17.9,64749
Carbon County,UT,17.1,20412
Carbon County,WY,20.6,14537
Caribou County,ID,19,7027
Carlisle County,KY,14.9,4826
Carlton County,MN,22.1,36207
Caroline County,MD,18.4,33293
Caroline County,VA,19.9,30887
Carroll County,AR,21.2,28260
Carroll County,GA,21.1,119148
Carroll County,IA,22.4,20760
Carroll County,IL,19.5,15702
Carroll County,IN,16.7,20306
Carroll County,KY,8.2,10810
Carroll County,MD,36.4,172891
Carroll County,MO,16.7,8495
Carroll County,MS,12.2,9998
Carroll County,NH,34.3,50107
Carroll County,OH,13.3,26721
Carroll County,TN,18,28440
Carroll County,VA,15,29155
Carson City,NV,22.2,58639
Carson County,TX,28.4,5807
Carter County,KY,12.6,26627
Carter County,MO,15.5,5202
Carter County,MT,20.2,1415
Carter County,OK,20.5,48003
Carter County,TN,17.5,56356
Carteret County,NC,29.1,67686
Carver County,MN,48.9,106922
Cascade County,MT,25.7,84414
Casey County,KY,12.8,15941
Cass County,IA,20.1,13127
Cass County,IL,15.1,13042
Cass County,IN,13.3,37870
Cass County,MI,19.2,51589
Cass County,MN,23.2,30066
Cass County,MO,26.3,107824
Cass County,ND,40.2,184525
Cass County,NE,27.7,26598
Cass County,TX,16.4,28454
Cassia County,ID,18.6,24655
Castro County,TX,15.6,7371
Caswell County,NC,15.9,22736
Catahoula Parish,LA,13.8,8906
Catawba County,NC,22.6,160610
Catoosa County,GA,21.4,67872
Catron County,NM,15.7,3579
Cattaraugus County,NY,19.1,77042
Cavalier County,ND,19.5,3704
Cayuga County,NY,22.6,76248
Cecil County,MD,23.9,103725
Cedar County,IA,22.2,18505
Cedar County,MO,13.6,14188
Cedar County,NE,21,8380
Centre County,PA,45.5,158172
Cerro Gordo County,IA,23.6,43127
Chaffee County,CO,33.8,19476
